Name,Client Number,Open Date,Status,Client Originating Attorney
Coca-Cola Company,100000,2015-01-01,Active,Morgan Blake
Colgate-Palmolive,100001,2016-02-02,Active,Jordan Lee
Costco Wholesale Corporation,100002,2017-03-03,Pending,Riley Chen
Cadbury plc,100003,2018-04-04,Closed,Taylor Brooks
Caterpillar Inc.,100004,2019-05-05,On Hold,Casey Nguyen
Comcast Corporation,100005,2020-06-06,Active,Alex Rivera
Chevron Corporation,100006,2021-07-07,Active,Sam Okonkwo
Chrysler LLC,100007,2022-08-08,Pending,Jamie Patel
Citigroup Inc.,100008,2023-09-09,Closed,Morgan Blake
Cisco Systems Inc.,100009,2024-10-10,On Hold,Jordan Lee
Campbell Soup Company,100010,2015-11-11,Active,Riley Chen
Conagra Brands Inc.,100011,2016-12-12,Active,Taylor Brooks
Cardinal Health Inc.,100012,2017-01-13,Pending,Casey Nguyen
Cigna Corporation,100013,2018-02-14,Closed,Alex Rivera
CVS Health Corporation,100014,2019-03-15,On Hold,Sam Okonkwo
PepsiCo Inc.,100015,2020-04-16,Active,Jamie Patel
Unilever plc,100016,2021-05-17,Active,Morgan Blake
Amazon.com Inc.,100017,2022-06-18,Pending,Jordan Lee
Microsoft Corporation,100018,2023-07-19,Closed,Riley Chen
Apple Inc.,100019,2024-08-20,On Hold,Taylor Brooks
Walmart Inc.,100020,2015-09-21,Active,Casey Nguyen
Target Corporation,100021,2016-10-22,Active,Alex Rivera
Ford Motor Company,100022,2017-11-23,Pending,Sam Okonkwo
The Walt Disney Company,100023,2018-12-24,Closed,Jamie Patel
Netflix Inc.,100024,2019-01-25,On Hold,Morgan Blake
Nike Inc.,100025,2020-02-26,Active,Jordan Lee
Starbucks Corporation,100026,2021-03-27,Active,Riley Chen
McDonald's Corporation,100027,2022-04-28,Pending,Taylor Brooks
The Boeing Company,100028,2023-05-01,Closed,Casey Nguyen
JPMorgan Chase & Co.,100029,2024-06-02,On Hold,Alex Rivera
Bank of America Corporation,100030,2015-07-03,Active,Sam Okonkwo
Wells Fargo & Company,100031,2016-08-04,Active,Jamie Patel
Pfizer Inc.,100032,2017-09-05,Pending,Morgan Blake
Johnson & Johnson,100033,2018-10-06,Closed,Jordan Lee
Merck & Co. Inc.,100034,2019-11-07,On Hold,Riley Chen
The Home Depot Inc.,100035,2020-12-08,Active,Taylor Brooks
Lowe's Companies Inc.,100036,2021-01-09,Active,Casey Nguyen
United Parcel Service Inc.,100037,2022-02-10,Pending,Alex Rivera
FedEx Corporation,100038,2023-03-11,Closed,Sam Okonkwo
Visa Inc.,100039,2024-04-12,On Hold,Jamie Patel
Mastercard Incorporated,100040,2015-05-13,Active,Morgan Blake
Oracle Corporation,100041,2016-06-14,Active,Jordan Lee
International Business Machines Corporation,100042,2017-07-15,Pending,Riley Chen
Intel Corporation,100043,2018-08-16,Closed,Taylor Brooks
NVIDIA Corporation,100044,2019-09-17,On Hold,Casey Nguyen
Meta Platforms Inc.,100045,2020-10-18,Active,Alex Rivera
Tesla Inc.,100046,2021-11-19,Active,Sam Okonkwo
Alphabet Inc.,100047,2022-12-20,Pending,Jamie Patel
The Procter & Gamble Company,100048,2023-01-21,Closed,Morgan Blake
UnitedHealth Group Incorporated,100049,2024-02-22,On Hold,Jordan Lee
3M,100050,2015-03-23,Active,Riley Chen
A. O. Smith,100051,2016-04-24,Active,Taylor Brooks
Abbott Laboratories,100052,2017-05-25,Pending,Casey Nguyen
AbbVie,100053,2018-06-26,Closed,Alex Rivera
Accenture,100054,2019-07-27,On Hold,Sam Okonkwo
Adobe Inc.,100055,2020-08-28,Active,Jamie Patel
Advanced Micro Devices,100056,2021-09-01,Active,Morgan Blake
AES Corporation,100057,2022-10-02,Pending,Jordan Lee
Aflac,100058,2023-11-03,Closed,Riley Chen
Agilent Technologies,100059,2024-12-04,On Hold,Taylor Brooks
Air Products,100060,2015-01-05,Active,Casey Nguyen
Airbnb,100061,2016-02-06,Active,Alex Rivera
Akamai Technologies,100062,2017-03-07,Pending,Sam Okonkwo
Albemarle Corporation,100063,2018-04-08,Closed,Jamie Patel
Alexandria Real Estate Equities,100064,2019-05-09,On Hold,Morgan Blake
Align Technology,100065,2020-06-10,Active,Jordan Lee
Allegion,100066,2021-07-11,Active,Riley Chen
Alliant Energy,100067,2022-08-12,Pending,Taylor Brooks
Allstate,100068,2023-09-13,Closed,Casey Nguyen
Altria,100069,2024-10-14,On Hold,Alex Rivera
Amcor,100070,2015-11-15,Active,Sam Okonkwo
Ameren,100071,2016-12-16,Active,Jamie Patel
American Electric Power,100072,2017-01-17,Pending,Morgan Blake
American Express,100073,2018-02-18,Closed,Jordan Lee
American International Group,100074,2019-03-19,On Hold,Riley Chen
American Tower,100075,2020-04-20,Active,Taylor Brooks
American Water Works,100076,2021-05-21,Active,Casey Nguyen
Ameriprise Financial,100077,2022-06-22,Pending,Alex Rivera
Ametek,100078,2023-07-23,Closed,Sam Okonkwo
Amgen,100079,2024-08-24,On Hold,Jamie Patel
Amphenol,100080,2015-09-25,Active,Morgan Blake
Analog Devices,100081,2016-10-26,Active,Jordan Lee
Aon plc,100082,2017-11-27,Pending,Riley Chen
APA Corporation,100083,2018-12-28,Closed,Taylor Brooks
Apollo Global Management,100084,2019-01-01,On Hold,Casey Nguyen
Applied Materials,100085,2020-02-02,Active,Alex Rivera
AppLovin,100086,2021-03-03,Active,Sam Okonkwo
Aptiv,100087,2022-04-04,Pending,Jamie Patel
Arch Capital Group,100088,2023-05-05,Closed,Morgan Blake
Archer Daniels Midland,100089,2024-06-06,On Hold,Jordan Lee
Ares Management,100090,2015-07-07,Active,Riley Chen
Arista Networks,100091,2016-08-08,Active,Taylor Brooks
Arthur J. Gallagher & Co.,100092,2017-09-09,Pending,Casey Nguyen
