Name,Client Number,Open Date,Status,Client Originating Attorney
Coca-Cola Company,100000,2015-01-01,Active,Morgan Blake
Colgate-Palmolive,100001,2016-02-02,Active,Jordan Lee
Costco Wholesale Corporation,100002,2017-03-03,Pending,Riley Chen
Cadbury plc,100003,2018-04-04,Closed,Taylor Brooks
Caterpillar Inc.,100004,2019-05-05,On Hold,Casey Nguyen
Comcast Corporation,100005,2020-06-06,Active,Alex Rivera
Chevron Corporation,100006,2021-07-07,Active,Sam Okonkwo
Chrysler LLC,100007,2022-08-08,Pending,Jamie Patel
Citigroup Inc.,100008,2023-09-09,Closed,Morgan Blake
Cisco Systems Inc.,100009,2024-10-10,On Hold,Jordan Lee
Campbell Soup Company,100010,2015-11-11,Active,Riley Chen
Conagra Brands Inc.,100011,2016-12-12,Active,Taylor Brooks
Cardinal Health Inc.,100012,2017-01-13,Pending,Casey Nguyen
Cigna Corporation,100013,2018-02-14,Closed,Alex Rivera
CVS Health Corporation,100014,2019-03-15,On Hold,Sam Okonkwo
PepsiCo Inc.,100015,2020-04-16,Active,Jamie Patel
Unilever plc,100016,2021-05-17,Active,Morgan Blake
Amazon.com Inc.,100017,2022-06-18,Pending,Jordan Lee
Microsoft Corporation,100018,2023-07-19,Closed,Riley Chen
Apple Inc.,100019,2024-08-20,On Hold,Taylor Brooks
Walmart Inc.,100020,2015-09-21,Active,Casey Nguyen
Target Corporation,100021,2016-10-22,Active,Alex Rivera
Ford Motor Company,100022,2017-11-23,Pending,Sam Okonkwo
The Walt Disney Company,100023,2018-12-24,Closed,Jamie Patel
Netflix Inc.,100024,2019-01-25,On Hold,Morgan Blake
3M,100025,2020-02-26,Active,Jordan Lee
A. O. Smith,100026,2021-03-27,Active,Riley Chen
Abbott Laboratories,100027,2022-04-28,Pending,Taylor Brooks
AbbVie,100028,2023-05-01,Closed,Casey Nguyen
Accenture,100029,2024-06-02,On Hold,Alex Rivera
Adobe Inc.,100030,2015-07-03,Active,Sam Okonkwo
Advanced Micro Devices,100031,2016-08-04,Active,Jamie Patel
AES Corporation,100032,2017-09-05,Pending,Morgan Blake
Aflac,100033,2018-10-06,Closed,Jordan Lee
Agilent Technologies,100034,2019-11-07,On Hold,Riley Chen
Air Products,100035,2020-12-08,Active,Taylor Brooks
Airbnb,100036,2021-01-09,Active,Casey Nguyen
Akamai Technologies,100037,2022-02-10,Pending,Alex Rivera
Albemarle Corporation,100038,2023-03-11,Closed,Sam Okonkwo
Alexandria Real Estate Equities,100039,2024-04-12,On Hold,Jamie Patel
Align Technology,100040,2015-05-13,Active,Morgan Blake
Allegion,100041,2016-06-14,Active,Jordan Lee
Alliant Energy,100042,2017-07-15,Pending,Riley Chen
Allstate,100043,2018-08-16,Closed,Taylor Brooks
Alphabet Inc.,100044,2019-09-17,On Hold,Casey Nguyen
Altria,100045,2020-10-18,Active,Alex Rivera
Amcor,100046,2021-11-19,Active,Sam Okonkwo
Ameren,100047,2022-12-20,Pending,Jamie Patel
American Electric Power,100048,2023-01-21,Closed,Morgan Blake
American Express,100049,2024-02-22,On Hold,Jordan Lee
American International Group,100050,2015-03-23,Active,Riley Chen
American Tower,100051,2016-04-24,Active,Taylor Brooks
American Water Works,100052,2017-05-25,Pending,Casey Nguyen
Ameriprise Financial,100053,2018-06-26,Closed,Alex Rivera
Ametek,100054,2019-07-27,On Hold,Sam Okonkwo
Amgen,100055,2020-08-28,Active,Jamie Patel
Amphenol,100056,2021-09-01,Active,Morgan Blake
Analog Devices,100057,2022-10-02,Pending,Jordan Lee
Aon plc,100058,2023-11-03,Closed,Riley Chen
APA Corporation,100059,2024-12-04,On Hold,Taylor Brooks
Apollo Global Management,100060,2015-01-05,Active,Casey Nguyen
Applied Materials,100061,2016-02-06,Active,Alex Rivera
AppLovin,100062,2017-03-07,Pending,Sam Okonkwo
Aptiv,100063,2018-04-08,Closed,Jamie Patel
Arch Capital Group,100064,2019-05-09,On Hold,Morgan Blake
Archer Daniels Midland,100065,2020-06-10,Active,Jordan Lee
Ares Management,100066,2021-07-11,Active,Riley Chen
Arista Networks,100067,2022-08-12,Pending,Taylor Brooks
Arthur J. Gallagher & Co.,100068,2023-09-13,Closed,Casey Nguyen
Assurant,100069,2024-10-14,On Hold,Alex Rivera
AT&T,100070,2015-11-15,Active,Sam Okonkwo
Atmos Energy,100071,2016-12-16,Active,Jamie Patel
Autodesk,100072,2017-01-17,Pending,Morgan Blake
Automatic Data Processing,100073,2018-02-18,Closed,Jordan Lee
AutoZone,100074,2019-03-19,On Hold,Riley Chen
AvalonBay Communities,100075,2020-04-20,Active,Taylor Brooks
Avery Dennison,100076,2021-05-21,Active,Casey Nguyen
Axon Enterprise,100077,2022-06-22,Pending,Alex Rivera
Baker Hughes,100078,2023-07-23,Closed,Sam Okonkwo
Ball Corporation,100079,2024-08-24,On Hold,Jamie Patel
Bank of America,100080,2015-09-25,Active,Morgan Blake
Baxter International,100081,2016-10-26,Active,Jordan Lee
Becton Dickinson,100082,2017-11-27,Pending,Riley Chen
Berkshire Hathaway,100083,2018-12-28,Closed,Taylor Brooks
Best Buy,100084,2019-01-01,On Hold,Casey Nguyen
Bio-Techne,100085,2020-02-02,Active,Alex Rivera
Biogen,100086,2021-03-03,Active,Sam Okonkwo
BlackRock,100087,2022-04-04,Pending,Jamie Patel
Blackstone Inc.,100088,2023-05-05,Closed,Morgan Blake
"Block, Inc.",100089,2024-06-06,On Hold,Jordan Lee
BNY Mellon,100090,2015-07-07,Active,Riley Chen
Boeing,100091,2016-08-08,Active,Taylor Brooks
Booking Holdings,100092,2017-09-09,Pending,Casey Nguyen
Boston Scientific,100093,2018-10-10,Closed,Alex Rivera
Bristol Myers Squibb,100094,2019-11-11,On Hold,Sam Okonkwo
